,date,OBJECTID,latitude,longitude,country,fatalities,injuries,type,trigger,severity,location,FID,source_nam,source_lin,event_time,event_id,event_titl,event_desc,location_d,location_a,storm_name,photo_link,comments,event_impo,event_im_1,latitude.1,longitude.1,country_co,admin_divi,gazetteer_,gazetteer1,submitted_,last_edite,slope
3785,2011/08/12 00:00:00+00,7398,28.8665,79.5682,India,11,0,landslide,rain,large,unknown,1543570,greaterkashmir,http://www.greaterkashmir.com/news/2011/Aug/13/monsoon-remains-active-in-northern-india-claims-11-lives-45.asp, ,3914,Uttarakhand and the Uttar Pradesh,"New Delhi, Aug 12: At least 11 persons were killed in rain-related incidents today as a reinvigorated monsoon in northern India led to landslides in Uttarakhand and spate in rivers of Uttar Pradesh.  Delhiites were drenched today as the past 24 hours end",Uttarakhand and the Uttar Pradesh,unknown, , , ,GLC,3914,28.8665,79.5682,IN,Uttaranchal,Baheri,12.62,2014/04/01 00:00:00+00,2019/05/16 00:00:00+00,3
3786,2016/05/23 00:00:00+00,987,30.7007,77.8644,India,10,5,rock_fall,rain,small,unknown,1538366,DNA India,http://www.dnaindia.com/india/report-uttarakhand-landslide-kills-ten-injures-five-in-chakrata-2215549,1:00,9318,"Chakrata, Uttarakhand, India",Ten labourers were killed and five others injured after landslide hit Chakrata area of the district in the wee hours of Monday. The mishap took place around 1 AM when the labourers were sleeping in the Teoni-Hanol area and boulders rolled down after stro,"Chakrata, Uttarakhand, India",1km, , , ,GLC,9318,30.7007,77.8644,IN,Uttaranchal,Deoban,5.8,2016/08/02 00:00:00+00,2019/05/16 00:00:00+00,87
3787,2010/08/17 00:00:00+00,1287,19.1993,73.0109,India,10,0,landslide,downpour,medium,unknown,1538664,ndtv,http://www.ndtv.com/article/cities/mumbai-records-seasons-wettest-day-45337, ,2262,"Sonabai Niwas(?), Kalwa, Mumbai","A portion of Sonabai Niwas, a residential building housing 21 families in Kalwa, collapsed killing ten people yesterday. According to officials, four injured people were rescued from the debris and the hunt for more was still on. An official added that t","Sonabai Niwas(?), Kalwa, Mumbai",5km, , , ,GLC,2262,19.1993,73.0109,IN,Maharashtra,Thana,5.87,2014/04/01 00:00:00+00,2019/05/16 00:00:00+00,98
3788,2010/10/03 00:00:00+00,4812,28.3092,95.4149,India,10,0,landslide,downpour,medium,unknown,1543379,gsi.gov,"http://www.portal.gsi.gov.in/portal/page?_pageid=127,875814&_dad=portal&_schema=PORTAL", ,2539,"Mosing village, Upper Siang district, Arunachal Pradesh","Ten people were killed and about 300,000 displaced in flash floods and landslides triggered by heavy rains in Arunachal Pradesh. Heavy rains triggered mudslides and flooding in at least three districts of Arunachal Pradesh, washing away bridges, huts and","Mosing village, Upper Siang district, Arunachal Pradesh",25km, , , ,GLC,2539,28.3092,95.4149,IN,Arunachal Pradesh,Mimesipo,16.97,2014/04/01 00:00:00+00,2019/05/16 00:00:00+00,128
3789,2017/06/09 00:00:00+00,5853,22.90813548,92.47207294,India,10,0,landslide,rain,medium,unknown,1542032,Hindustan Times,http://www.hindustantimes.com/india-news/12-dead-in-mizoram-landslides-flood-in-9-days/story-kgRi9Vr3dRit9uVIAOGMQK.html, ,10957,Landslides throuhgout Lunglei District,"Landslides + flash floods after heavy rain hit throughout Lunglei District, Tlabung town hard hit. Death toll is 10, article does not specify specific landslide deaths. Article: Altogether 165 buildings were destroyed and 299 houses damaged by landslide,","Tlabung, Lungsen, Lunglei, Mizoram",100km, , ,"Area of Tlabung is known, but confidence radius is 100km to encompass all of Lunglei District, which article said had various landslides. Date approximate, article says ""since June 9 [2017]""",GLC, ,22.90813548,92.47207294,IN,Mizoram,Hruizam,14.42,2017/07/11 00:00:00+00,2019/05/16 00:00:00+00,61
3790,2016/05/22 00:00:00+00,6497,30.305999999999997,78.0648,India,10,6,rock_fall,rain,small,mine,1544270,Kathmandu Post,http://kathmandupost.ekantipur.com/news/2016-05-24/10-nepalis-killed-in-dehradun-landslip.html,15:00,9314,"Chetra Village, Dehradun, India","Estimated location within Dehradun. Ten Nepali workers were killed in Chetra Village in Dehradun, India, after they were buried under boulders after a landslide hit the region on Sunday afternoon. They were construction workers at a road project. Surya B","Chetra Village, Dehradun, India",25km, , , ,GLC,9314,30.305999999999997,78.0648,IN,Uttaranchal,Dehra Dun,3.5,2016/08/02 00:00:00+00,2019/05/16 00:00:00+00,8
3791,2010/09/09 00:00:00+00,7309,28.3036,95.4112,India,10,0,landslide,downpour,medium,unknown,1543481,timesofindia.indiatimes,http://timesofindia.indiatimes.com/india/13-killed-as-rains-wrack-havoc-in-north-and-eastern-India-/articleshow/6532367.cms,23:00,2405,"Mossing(Mosing) village(?), Upper Siang district, Arunachal Pradesh","Sep 10, 2010, 09.40pm IST  NEW DELHI: Thirteen people were killed as heavy monsoon rains wracked havoc in north and east India, triggering landslides and inundating lakhs of acres of farmland on Friday.  At least eight people were buried alive under the","Mossing(Mosing) village(?), Upper Siang district, Arunachal Pradesh",unknown, , , ,GLC,2405,28.3036,95.4112,IN,Arunachal Pradesh,Mimesipo,16.6,2014/04/01 00:00:00+00,2019/05/16 00:00:00+00,133
3792,2007/06/25 00:00:00+00,7859,18.430999999999997,79.1492,India,10,0,landslide,rain,medium,unknown,1545238,United Nations Development Programme - Relief Web,http://www.reliefweb.int/rw/RWB.NSF/db900SID/MCON-74J2QF?OpenDocument, ,98,Karimnagar,10 deaths reported b/w Karimnagar and Kurnool,Karimnagar,25km, , , ,GLC,98,18.430999999999997,79.1492,IN,Telangana,Karimnagar,1.13,2014/04/01 00:00:00+00,2019/05/16 00:00:00+00,4
3793,2017/01/25 00:00:00+00,9625,34.636390000000006,74.77415081,India,10,7,snow_avalanche,snowfall_snowmelt,medium,natural_slope,1546604,The New Indian Express,http://www.newindianexpress.com/nation/2017/jan/27/fresh-avalanches-in-jammu--kashmir-toll-rises-to-20-1564077.html,unknown,10939,Two Gurez Sector Avalanches Trap Soldiers Under Debris,"Two avalanches hit army personnel in Gurez sector on Wednesday evening trapping several soldiers under the debris. While seven personnel were rescued alive by the teams, bodies of 10 soldiers were recovered yesterday.","Gurez, Bandipore, Jammu & Kashmir",1km, , , ,GLC, ,34.636390000000006,74.77415081,IN,Jammu and Kashmir,Wampor,2.08,2017/10/27 00:00:00+00,2019/05/16 00:00:00+00,121
3794,2011/06/29 00:00:00+00,9813,30.0667,79.0193,India,10,0,landslide,downpour,large,unknown,1546792,ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/several-roads-blocked-due-to-landslides-in-uttarakhand/742517.html, ,3674,Several roads in Uttarakhand,"Jun 29 (PTI) Several roads in Uttarakhand, including national highways leading to the shrines of Badrinath, Kedarnath and Gangotri, were blocked by landslides triggered by heavy rains stranding hundreds of pilgrims, official sources today said. Rishikesh",Several roads in Uttarakhand,5km, , , ,GLC,3674,30.0667,79.0193,IN,Uttaranchal,Bandarkutgo,23.82,2014/04/01 00:00:00+00,2019/05/16 00:00:00+00,73
