FID,latitude,longitude,country_na,event_date,event_time
312,30.4517,78.1443,India,2015/07/24 00:00:00+00, 
313,6.132999999999999,125.0245,Philippines,2008/08/22 00:00:00+00, 
315,7.0859,124.1745,Philippines,2014/08/30 00:00:00+00, 
317,15.8294,78.0501,India,2007/06/25 00:00:00+00, 
319,28.2265,82.553,Nepal,2013/06/18 00:00:00+00, 
320,27.1675,88.3651,India,2012/09/16 00:00:00+00, 
321,32.7556,129.8735,Japan,2016/06/28 00:00:00+00,23:00
323,27.5567,85.1173,Nepal,2016/07/25 00:00:00+00,23:00
325,25.9548,104.5178,China,2012/08/29 00:00:00+00,05:00
326,25.6623,94.1072,India,2010/10/10 00:00:00+00,06:00
329,10.0604,76.635,India,2012/08/17 00:00:00+00,15:00
331,-7.1788,107.6012,Indonesia,2015/05/05 00:00:00+00, 
332,30.28,109.48,China,2008/07/13 00:00:00+00, 
334,11.8861,108.2058,Vietnam,2008/05/02 00:00:00+00, 
337,16.7999,120.8211,Philippines,2016/10/20 00:00:00+00, 
338,30.2524,78.9228,India,2013/06/24 00:00:00+00,22:00
341,12.89163444,74.88548779,India,2010/06/25 00:00:00+00, 
345,30.9206,78.3276,India,2011/05/31 00:00:00+00, 
346,28.2001,85.4611,Nepal,2015/04/28 00:00:00+00, 
348,34.4854,132.44,Japan,2014/08/20 00:00:00+00,04:00
349,27.2644,88.1365,India,2009/08/19 00:00:00+00,20:00
350,28.2741,83.7417,Nepal,2013/08/09 00:00:00+00, 
351,29.9111,109.5516,China,2014/09/27 00:00:00+00,06:00
358,33.0086,74.9426,India,2014/09/04 00:00:00+00, 
363,22.7662,104.9389,Vietnam,2010/04/25 00:00:00+00,23:00
367,22.4254,91.8022,Bangladesh,2015/07/26 00:00:00+00,07:00
368,30.365,78.0641,India,2010/08/26 00:00:00+00,08:00
369,16.5141,80.6058,India,2010/10/11 00:00:00+00,00:00
372,34.2092,74.321,India,2015/03/05 00:00:00+00, 
374,24.8,121.67,China,2008/09/28 00:00:00+00, 
377,24.1077,94.0396,India,2015/08/01 00:00:00+00,06:00
378,21.0324,105.7586,Vietnam,2015/08/15 00:00:00+00, 
379,34.3427,73.4359,Pakistan,2014/03/19 00:00:00+00, 
381,27.8426,85.3418,Nepal,2015/08/28 00:00:00+00,02:00
385,28.6363,77.3957,India,2015/01/05 00:00:00+00,09:00
391,29.9,81.1333,Nepal,2008/08/18 00:00:00+00, 
393,15.5931,73.8119,India,2011/06/17 00:00:00+00, 
394,32.7029,75.9568,India,2010/08/26 00:00:00+00, 
396,11.3432,76.8285,India,2015/11/07 00:00:00+00, 
397,29.1964,81.7557,Nepal,2008/08/15 00:00:00+00, 
398,35.7497,71.7059,Pakistan,2015/02/25 00:00:00+00, 
400,5.7515,117.9802,Malaysia,2011/01/31 00:00:00+00,15:00
401,10.2585,123.8196,Philippines,2014/10/19 00:00:00+00, 
403,21.71115327,92.60498572,Myanmar,1970/01/01 00:00:00+00, 
404,22.50691804,93.60327648,Myanmar,1970/01/01 00:00:00+00, 
405,22.18768049,94.41583979,Myanmar,1970/01/01 00:00:00+00, 
406,22.53450242,96.97585008,Myanmar,1970/01/01 00:00:00+00, 
407,20.93357648,92.43097442,Myanmar,1970/01/01 00:00:00+00, 
408,20.60918598,92.55270296,Myanmar,1970/01/01 00:00:00+00, 
409,20.67540998,92.53753987,Myanmar,1970/01/01 00:00:00+00, 
410,20.80707997,93.15098714,Myanmar,1970/01/01 00:00:00+00, 
411,20.79094775,93.12898838,Myanmar,1970/01/01 00:00:00+00, 
412,20.74401062,93.16340036,Myanmar,1970/01/01 00:00:00+00, 
413,20.56844437,100.07669940000001,Myanmar,1970/01/01 00:00:00+00, 
414,20.61566694,99.966347,Myanmar,1970/01/01 00:00:00+00, 
415,20.67242339,99.71436881,Myanmar,1970/01/01 00:00:00+00, 
416,25.68345923,97.43710268,Myanmar,1970/01/01 00:00:00+00, 
417,25.681094,97.44685813,Myanmar,1970/01/01 00:00:00+00, 
418,25.68144526,97.44635604,Myanmar,1970/01/01 00:00:00+00, 
419,25.67758473,97.45504602,Myanmar,1970/01/01 00:00:00+00, 
420,21.20270136,92.69913165,Myanmar,1970/01/01 00:00:00+00, 
421,21.210479,94.00209351,Myanmar,1970/01/01 00:00:00+00, 
422,21.43123451,94.03922568,Myanmar,1970/01/01 00:00:00+00, 
423,21.3732131,93.09760669,Myanmar,1970/01/01 00:00:00+00, 
424,18.58841924,96.14564370000001,Myanmar,1970/01/01 00:00:00+00, 
425,18.67625308,96.10416631,Myanmar,1970/01/01 00:00:00+00, 
