landslide,forest2,ARI3,osm,slope
1,1,0.237849341,9879,31.779
1,1,1.941987618,9975,6.091
1,1,1.782837922,9979,11.034
1,1,2.277971434,9992,12.854
1,1,0.0,10052,28.645
1,1,1.309708228,10052,0.0
1,1,0.686663092,10395,14.441
1,1,0.375227332,10570,18.175
1,1,1.220824506,10584,3.434
1,1,0.033073222,10971,1.155
1,1,2.347281209,11468,30.007
1,1,0.33753585700000005,11875,1.956
1,1,1.433925177,12176,23.394
1,1,0.16536611199999998,12216,30.169
1,1,0.7318361640000001,13511,20.023
1,1,0.066146445,13649,6.728
1,1,0.0,13784,27.488000000000003
1,1,0.102030891,13905,31.115
1,1,0.493419479,13916,21.102
1,1,0.318292267,13938,15.737
1,1,0.6181932720000001,13941,24.615
1,1,5.066382307,13974,25.791
1,1,0.554306831,14029,21.528
1,1,1.50957511,14038,34.044000000000004
1,1,0.084032983,14952,11.795
1,1,5.198008107,14953,28.533
1,1,1.199821885,15202,5.678
1,1,0.746113521,15988,13.777
1,1,0.7809873970000001,16323,22.203000000000007
1,1,1.4115130059999998,16323,1.913
1,1,0.416547486,16477,4.949
1,1,0.246818109,16558,9.67
1,1,17.22919293,16595,14.21
1,1,3.194781405,16595,14.165
1,1,0.060027899,16602,22.822
1,1,10.56002415,16943,18.138
1,1,0.160678864,16988,15.873
1,1,2.14018809,17709,2.862
1,1,0.872581849,17722,25.692
1,1,0.0,17724,9.228
1,1,4.089878169,17724,25.251
1,1,2.853484125,18602,3.012
1,1,0.5305518579999999,18669,38.328
1,1,0.18102077,19328,0.0
1,1,1.192473405,19331,14.774
1,1,0.808456545,19352,20.785
1,1,3.338698295,19393,29.957
1,1,0.1488295,19408,21.952
1,1,2.359225817,19520,25.657
1,1,0.083048286,19531,19.831
1,1,0.181312504,35,30.006
1,1,2.3132285390000003,44,2.545
1,1,2.270540458,68,3.2960000000000003
1,1,4.304020534,178,1.679
1,1,0.8294662909999999,691,30.007
1,1,0.926050225,700,23.704
1,1,4.630448363,710,4.732
1,1,2.335711955,730,2.846
1,1,0.8294662909999999,1345,30.007
1,1,0.040752435,1346,27.615
1,1,2.373838031,1359,6.266
1,1,0.001349927,1392,4.689
1,1,0.34715634,1397,25.562
1,0,0.381219509,1490,39.545
1,1,0.71516831,1643,15.437
1,1,1.98855899,1654,9.35
