12814 30.9583 110.6064 2014/09/02 00:00:00+00 China 0 0 translational_slide unknown medium other
12805 26.0349 101.4586 2011/06/16 00:00:00+00 China 0 0 landslide downpour medium unknown
12786 39.7935 115.9423 2010/08/21 00:00:00+00 China 0 0 mudslide downpour medium unknown
12737 22.741 120.7253 2016/05/22 00:00:00+00 China 0 0 landslide earthquake medium above_road
12721 27.4761 103.76299999999999 2011/06/25 00:00:00+00 China 0 0 landslide downpour very_large unknown
12718 28.6904 99.2543 2016/07/06 00:00:00+00 China 0 0 mudslide downpour large natural_slope
12615 23.8314 120.704 2010/06/14 00:00:00+00 China 0 0 landslide downpour medium unknown
12602 27.6969 111.9933 2013/03/26 00:00:00+00 China 0 0 landslide rain medium unknown
12596 36.5851 109.4875 2013/07/13 00:00:00+00 China 0 0 mudslide rain small unknown
12446 31.1667 110.85 2008/04/19 00:00:00+00 China 0 0 complex rain large unknown
12436 25.1163 121.7161 2011/02/20 00:00:00+00 China 0 0 landslide continuous_rain medium unknown
12367 25.221999999999998 121.6048 2010/09/24 00:00:00+00 China 0 0 landslide downpour medium unknown
12295 38.745 75.0635 2015/02/27 00:00:00+00 China 0 0 mudslide snowfall_snowmelt medium above_road
12269 18.777 109.8832 2010/10/02 00:00:00+00 China 0 0 landslide downpour medium unknown
12230 30.9983 103.6194 2011/07/02 00:00:00+00 China 0 0 mudslide downpour medium unknown
12198 32.216 106.675 2015/06/30 00:00:00+00 China 0 0 unknown downpour medium unknown
12158 28.5446 102.1803 2010/07/20 00:00:00+00 China 0 0 landslide downpour medium unknown
12138 29.176 97.7991 2010/04/23 00:00:00+00 China 0 0 complex continuous_rain medium unknown
11997 29.7929 95.8044 2014/07/01 00:00:00+00 China 0 0 mudslide rain medium above_road
11939 22.7708 120.9452 2010/09/09 00:00:00+00 China 0 0 landslide tropical_cyclone medium unknown
11671 26.672641100000003 105.66884329999999 2017/07/08 00:00:00+00 China 0 0 landslide rain large natural_slope
11517 30.4559 106.6332 2010/07/19 00:00:00+00 China 0 0 landslide downpour medium unknown
11316 39.88229637 115.7961119 2018/08/11 00:00:00+00 China 0 0 landslide downpour large above_road
11303 22.32544412 114.2301309 2013/05/22 00:00:00+00 China 0 0 landslide downpour small deforested_slope
11211 28.93439223 117.6066571 2017/01/21 00:00:00+00 China 0 0 landslide rain medium above_road
11102 22.3252 114.2393 2013/05/22 00:00:00+00 China 0 0 landslide downpour medium unknown
11049 27.1663 100.0692 2013/06/17 00:00:00+00 China 0 0 landslide downpour medium unknown
10971 23.6679 120.8766 2010/05/23 00:00:00+00 China 0 0 landslide downpour medium unknown
10846 29.1935 119.7975 2011/06/14 00:00:00+00 China 0 0 landslide downpour small unknown
10769 31.02 103.5 2008/06/30 00:00:00+00 China 0 0 landslide downpour large unknown
10744 22.394574600000002 114.3543952 2016/05/21 00:00:00+00 China 0 0 landslide rain large natural_slope
10699 25.1784 106.0995 2011/06/05 00:00:00+00 China 0 0 landslide downpour medium unknown
10640 23.9034 120.9334 2012/05/28 00:00:00+00 China 0 0 landslide rain medium unknown
10621 27.8189 99.7022 2011/07/02 00:00:00+00 China 0 0 debris_flow downpour medium unknown
10490 29.7453 98.5567 2011/10/22 00:00:00+00 China 0 0 landslide downpour medium unknown
10441 28.4314 109.4872 2016/07/17 00:00:00+00 China 0 0 landslide downpour large unknown
10422 22.225713 113.921806 2016/09/07 00:00:00+00 China 0 0 landslide rain small above_road
10288 23.1297 120.6161 2010/05/23 00:00:00+00 China 0 0 mudslide downpour medium unknown
10253 25.1167 121.4833 2007/10/05 00:00:00+00 China 0 0 landslide tropical_cyclone medium unknown
10249 24.3504 121.7755 2016/06/20 00:00:00+00 China 0 0 landslide continuous_rain medium above_road
10126 30.0554 102.6171 2016/07/08 00:00:00+00 China 0 0 rock_fall downpour medium above_road
9864 21.4758 101.5675 2011/07/01 00:00:00+00 China 0 0 debris_flow downpour medium unknown
9819 31.5771 103.7368 2011/07/03 00:00:00+00 China 0 0 landslide downpour small unknown
9778 22.692287 121.02058000000001 2018/08/11 00:00:00+00 China 0 0 landslide downpour medium natural_slope
9749 21.6598 110.9276 2010/09/21 00:00:00+00 China 0 0 landslide tropical_cyclone medium unknown
9745 22.7611 120.6824 2016/05/22 00:00:00+00 China 0 0 rock_fall earthquake unknown natural_slope
9656 31.1532 103.5154 2011/07/03 00:00:00+00 China 0 0 landslide downpour medium unknown
9633 34.0982 104.3024 2011/07/21 00:00:00+00 China 0 0 landslide rain medium unknown
9588 29.3199 102.7348 2010/07/27 00:00:00+00 China 0 0 landslide downpour large unknown
9577 32.6506 110.7888 2011/06/19 00:00:00+00 China 0 0 landslide downpour very_large unknown
9548 22.2841 120.7255 2013/08/31 00:00:00+00 China 0 17 rock_fall tropical_cyclone medium unknown
9543 23.4367 120.7211 2010/09/19 00:00:00+00 China 0 0 mudslide tropical_cyclone medium unknown
9481 22.63 110.15 2008/06/30 00:00:00+00 China 0 0 landslide unknown medium unknown
9425 29.8246 94.413 2016/06/18 00:00:00+00 China 0 1 landslide rain medium unknown
9405 23.6454 109.9679 2013/08/19 00:00:00+00 China 0 0 landslide tropical_cyclone medium unknown
9361 31.9111 108.6989 2010/07/19 00:00:00+00 China 0 0 landslide downpour medium unknown
9349 28.1631 85.9834 2012/05/01 00:00:00+00 China 0 0 landslide downpour medium unknown
9343 24.1046 108.0198 2013/08/28 00:00:00+00 China 0 0 landslide downpour medium unknown
9301 22.39248688 114.1867405 1997/07/03 00:00:00+00 China 0 0 landslide downpour medium engineered_slope
9219 32.4879 105.8453 2007/10/05 00:00:00+00 China 0 0 complex rain large above_river
9180 29.5524 106.5458 2008/01/03 00:00:00+00 China 0 0 landslide rain small unknown
9163 30.6427 114.318 2011/06/19 00:00:00+00 China 0 0 landslide downpour medium unknown
9035 31.5583 95.2747 2016/05/11 00:00:00+00 China 0 0 landslide earthquake medium above_road
8887 25.79 113.02 2008/06/27 00:00:00+00 China 0 0 mudslide downpour large unknown
8771 26.9468216 105.2460505 2007/05/20 00:00:00+00 China 0 0 landslide downpour unknown unknown
8761 27.6615 120.564 2015/08/09 00:00:00+00 China 0 0 mudslide tropical_cyclone medium unknown
8755 34.3887 106.92200000000001 2013/07/12 00:00:00+00 China 0 0 landslide rain medium unknown
8730 24.54070891 121.86766019999999 2017/05/29 00:00:00+00 China 0 0 landslide mining medium above_road
8556 24.5478 121.8496 2010/10/21 00:00:00+00 China 0 0 complex tropical_cyclone medium unknown
8548 30.0091 101.9374 2011/07/02 00:00:00+00 China 0 0 mudslide downpour medium unknown
8450 25.035 121.7648 2013/09/01 00:00:00+00 China 0 0 rock_fall tropical_cyclone medium unknown
8408 36.0464 103.8128 2012/03/17 00:00:00+00 China 0 0 landslide unknown medium unknown
8358 32.4167 104.95 2007/10/09 00:00:00+00 China 0 0 landslide downpour large unknown
8309 24.959 121.4479 2008/09/14 00:00:00+00 China 0 0 mudslide tropical_cyclone medium unknown
8290 31.2922 103.2827 2008/05/12 00:00:00+00 China 0 0 landslide downpour very_large unknown
8287 28.0115 112.9838 2014/06/23 00:00:00+00 China 0 0 landslide rain medium above_road
8265 29.4903 90.9352 2012/05/03 00:00:00+00 China 0 0 landslide downpour large unknown
8257 23.0636 120.6854 2009/08/10 00:00:00+00 China 0 0 mudslide tropical_cyclone medium unknown
8176 26.6375 118.1817 2010/06/14 00:00:00+00 China 0 0 landslide downpour medium unknown
8173 23.4333 120.7803 2009/08/10 00:00:00+00 China 0 0 mudslide tropical_cyclone large unknown
8158 33.3422 104.3877 2013/07/16 00:00:00+00 China 0 0 landslide rain medium unknown
8154 22.6522 121.0217 2016/10/08 00:00:00+00 China 0 0 mudslide downpour medium above_road
8028 31.236 103.4883 2010/05/29 00:00:00+00 China 0 0 landslide earthquake medium unknown
8021 28.5299 112.3174 2016/03/18 00:00:00+00 China 0 0 landslide rain medium above_road
8013 27.7482 103.8855 2013/08/25 00:00:00+00 China 0 0 landslide downpour medium unknown
7998 31.265 121.505 2012/08/18 00:00:00+00 China 0 0 mudslide downpour medium unknown
7939 31.07 103.49 2008/07/01 00:00:00+00 China 0 0 landslide downpour large unknown
7927 26.7636 119.2801 2013/09/23 00:00:00+00 China 0 0 landslide tropical_cyclone medium unknown
7916 31.3161 103.8764 2012/08/18 00:00:00+00 China 0 0 mudslide downpour medium unknown
7780 29.50293268 103.50441670000001 2018/05/22 00:00:00+00 China 0 0 landslide rain small above_road
7772 28.83598285 103.36233370000001 2018/05/05 00:00:00+00 China 0 0 rotational_slide unknown large natural_slope
7750 25.009754100000002 111.8176623 2017/07/02 00:00:00+00 China 0 0 landslide rain medium unknown
7745 25.00832371 109.3447288 2017/07/12 00:00:00+00 China 0 3 earth_flow rain medium above_road
7653 28.8848 113.5538 2011/06/10 00:00:00+00 China 0 0 landslide downpour medium unknown
7644 24.6929 121.7195 2009/10/05 00:00:00+00 China 0 0 landslide tropical_cyclone medium unknown
7621 28.1292 120.4216 2007/10/08 00:00:00+00 China 0 0 landslide tropical_cyclone medium unknown
7587 22.6214 114.0818 2008/06/06 00:00:00+00 China 0 0 landslide rain medium unknown
7542 30.6887 103.9291 2013/07/07 00:00:00+00 China 0 0 landslide continuous_rain very_large unknown
7511 35.1649 102.4839 2008/08/22 00:00:00+00 China 0 0 mudslide rain medium unknown
7473 32.0637 102.9905 2012/07/07 00:00:00+00 China 0 0 landslide downpour large burned_area
7441 27.98497238 104.186014 2017/08/25 00:00:00+00 China 0 0 riverbank_collapse tropical_cyclone medium below_road
7330 29.2425 102.3679 2013/07/05 00:00:00+00 China 0 0 landslide downpour large unknown
7278 30.7635 105.7051 2009/08/10 00:00:00+00 China 0 0 mudslide tropical_cyclone medium unknown
7264 23.1321 113.2685 2015/12/20 00:00:00+00 China 0 3 landslide no_apparent_trigger large urban
7112 27.9982 120.6168 2015/08/08 00:00:00+00 China 0 0 mudslide tropical_cyclone large unknown
